Grupo,Teste,Result,Esperado,Correto,Razao
GrupoF,asl010,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl012,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl014,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl015,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl016,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl017,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl018,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl019,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl027,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl028,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl031,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl033,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl037,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl048,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl050,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl052,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl053,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl057,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl058,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl059,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl061,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl063,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl069,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl073,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl074,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl079,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl083,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl086,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl087,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl091,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl092,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl093,1,0,FALSE,"line 3: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl106,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl118,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl126,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl127,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl129,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl130,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl131,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl146,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl147,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl148,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl149,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl150,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl151,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl152,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl153,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl154,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl155,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl156,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl157,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl158,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl159,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoF,asl160,1,0,FALSE,"line 2: syntax error, unexpected '/', expecting ' ' "
GrupoG,asl016,1,0,FALSE,"syntax error, unexpected '{' on line 4 Token UNEXPECTED { "
GrupoG,asl017,1,0,FALSE,"syntax error, unexpected '{' on line 4 Token UNEXPECTED { "
GrupoG,asl019,1,0,FALSE,"syntax error, unexpected '{' on line 4 Token UNEXPECTED { "
GrupoG,asl037,1,0,FALSE,"syntax error, unexpected '{' on line 5 Token UNEXPECTED { "
GrupoG,asl057,1,0,FALSE,"syntax error, unexpected '{', expecting '}' on line 4 Token UNEXPECTED { "
GrupoG,asl058,1,0,FALSE,"syntax error, unexpected '{', expecting '}' on line 4 Token UNEXPECTED { "
GrupoG,asl083,1,0,FALSE,"syntax error, unexpected '{' on line 5 Token UNEXPECTED { "
GrupoG,asl086,1,0,FALSE,"syntax error, unexpected '{', expecting ',' on line 7 Token UNEXPECTED { "
GrupoG,asl092,1,0,FALSE,"syntax error, unexpected '{' on line 4 Token UNEXPECTED { "
GrupoG,asl118,1,0,FALSE,"syntax error, unexpected '{' on line 5 Token UNEXPECTED { "
GrupoH,asl126,1,0,FALSE," Error on line 4: syntax error, unexpected ' ' "
GrupoH,asl146,1,0,FALSE," Error on line 4: syntax error, unexpected ' ' "
GrupoJ,asl146,1,0,FALSE,"Erro encontrado na linha 4: syntax error, unexpected ' ' "
GrupoJ,asl147,1,0,FALSE,"Erro encontrado na linha 4: syntax error, unexpected '!' "
GrupoL,asl016,1,0,FALSE,"syntax error, unexpected ',' at line:4 "
GrupoL,asl017,1,0,FALSE,"syntax error, unexpected ',' at line:7 "
GrupoL,asl019,1,0,FALSE,"syntax error, unexpected ',' at line:4 "
GrupoL,asl037,1,0,FALSE,"syntax error, unexpected ',' at line:7 "
GrupoL,asl083,1,0,FALSE,"syntax error, unexpected ',' at line:5 "
GrupoL,asl086,1,0,FALSE,"syntax error, unexpected ',' at line:7 "
GrupoL,asl092,1,0,FALSE,"syntax error, unexpected ',' at line:4 "
GrupoL,asl113,0,1,FALSE,NA
GrupoL,asl118,1,0,FALSE,"syntax error, unexpected ',' at line:7 "
GrupoP,asl017,1,0,FALSE,"syntax error, unexpected TK_PR_ELSE, expecting ',' Error found in line: [10] "
GrupoP,asl019,1,0,FALSE,"syntax error, unexpected TK_PR_ELSE, expecting ',' Error found in line: [4] "
GrupoP,asl037,1,0,FALSE,"syntax error, unexpected TK_ERRO, expecting '{' Error found in line: [5] "
GrupoS,asl016,1,0,FALSE,"Erro na linha 4. syntax error, unexpected '{', expecting '}' "
GrupoS,asl017,1,0,FALSE,"Erro na linha 5. syntax error, unexpected '{', expecting '}' "
GrupoS,asl057,1,0,FALSE,"Erro na linha 4. syntax error, unexpected '{', expecting '}' "
GrupoS,asl058,1,0,FALSE,"Erro na linha 4. syntax error, unexpected '{', expecting '}' "
GrupoS,asl073,1,0,FALSE,"Erro na linha 4. syntax error, unexpected ')' "
GrupoS,asl074,1,0,FALSE,"Erro na linha 6. syntax error, unexpected ';', expecting ')' "
GrupoV,asl003,1,0,FALSE,"Error at line 4: syntax error, unexpected TK_OC_OR, expecting ',' "
GrupoV,asl009,1,0,FALSE,"Error at line 3: syntax error, unexpected '+', expecting ')' "
GrupoV,asl010,1,0,FALSE,"Error at line 3: syntax error, unexpected '+', expecting ')' "
GrupoV,asl012,1,0,FALSE,"Error at line 5: syntax error, unexpected '+', expecting ',' "
GrupoV,asl014,1,0,FALSE,"Error at line 5: syntax error, unexpected '+', expecting ',' "
GrupoV,asl015,1,0,FALSE,"Error at line 5: syntax error, unexpected TK_OC_AND, expecting ',' "
GrupoV,asl016,1,0,FALSE,"Error at line 4: syntax error, unexpected '{' "
GrupoV,asl017,1,0,FALSE,"Error at line 5: syntax error, unexpected '{' "
GrupoV,asl018,1,0,FALSE,"Error at line 5: syntax error, unexpected '+', expecting ',' "
GrupoV,asl019,1,0,FALSE,"Error at line 4: syntax error, unexpected ',', expecting '}' "
